Frame ID,Place,Dedication,Region,Tower ID,Grid Ref,Latitude,Longitude,Frame Number,Frame Date,Listed,Materials,Maker,Maker Uncertain,Trusses,Layout,Resultant Layout,Num Extensions
5547,Rayleigh,Holy Trinity,Essex,12322,TQ807909,51.58820,0.60847,1,1925,,metal,Gillett & Johnston,,10,8.3,,0
8172,Rayne,All Saints,Essex,11091,TL732229,51.87782,0.51618,9,,,,,,,,,0
5548,Rayne,All Saints,Essex,11091,TL732229,51.87782,0.51618,1,1841,,oak;steel,,,,6.5,,0
5549,Reading,S Giles,Berkshire,16811,SU716729,51.45090,-0.97074,1,,,timber,,,,,,0
5550,Reading,S Laurence,Berkshire,10597,SU716735,51.45635,-0.96971,1,1929,,cast iron,Mears & Stainbank,,,,,0
5551,Reading,Minster Ch of S Mary V,Berkshire,16674,SU713733,51.45443,-0.97389,1,1929,,cast iron,Mears & Stainbank,,,,,0
5552,Redbourn,S Mary,Hertfordshire,16894,TL099115,51.79197,-0.40676,1,1953,,cast iron,John Taylor & Co,,,8,,0
5553,Redbourne,S Andrew,Lincolnshire,13838,SK973999,53.48717,-0.53458,1,c1774,,pine,,,6.B,6.X,,0
7832,Redbrook,S Saviour,Gloucestershire,22966,SO537099,51.78601,-2.67242,1,,,timber,,,6.A,1,,0
5555,Reddish,S Elisabeth,Greater Manchester,12178,SJ892934,53.43783,-2.16324,2,1891,,cast iron;oak,John Taylor & Co,,7.A.a,3.1,,0
5554,Reddish,S Elisabeth,Greater Manchester,12178,SJ892934,53.43783,-2.16324,1,1891,,cast iron,John Taylor & Co,,8.3.C.e,5.1,,0
5557,Redditch,S Stephen,Worcestershire,10059,SP041676,52.30724,-1.94100,2,1931,,cast iron,John Taylor & Co,,,,,0
5556,Redditch,S Stephen,Worcestershire,10059,SP041676,52.30724,-1.94100,1,1931,,cast iron,John Taylor & Co,,,,,0
5559,Rede,All Saints,Suffolk,15004,TL804559,52.17211,0.63760,1,c1878,,timber,,,6.A,5.12R,,0
5560,Redenhall,Assumption of BVM,Norfolk,11384,TM263843,52.41048,1.32707,1,1806,,timber,,,,,,0
5561,Redgrave,S Mary,Suffolk,11475,TM056782,52.36328,1.01946,1,1786,,oak,,,6.D,6.X,,0
7938,Redhill,S John Ev,Surrey,14408,TQ274493,51.22932,-0.17654,1,,,,,,,,,0
5562,Redmarley D'Abitot,S Bartholomew,Gloucestershire,10567,SO752312,51.97956,-2.36231,1,c1799,,oak,,,6.A,6.16,,0
7821,Redmile,S Peter,Leicestershire,13938,SK796355,52.91133,-0.81636,1,,,timber,,,6.B,3.1,,0
5563,Reigate,S Mark,Surrey,14463,TQ254508,51.24331,-0.20347,1,c1863,,pine,,,,,,0
5564,Rempstone,All Saints,Nottinghamshire,12794,SK575245,52.81501,-1.14790,1,1975,,cast iron,John Taylor & Co,,8.3.A.h,6.1,,0
5565,Rendcomb,S Peter,Gloucestershire,10329,SP018097,51.78678,-1.97463,1,1841,,oak,Edwin and John Jacques,,6.A;6.I,6.2,,0
5567,Rendham,S Michael,Suffolk,12934,TM349644,52.22845,1.43927,2,2003,,cast iron;steel,Eayre & Smith,,,,,0
5566,Rendham,S Michael,Suffolk,12934,TM349644,52.22845,1.43927,1,2003,,steel,Eayre & Smith,,,,,0
8612,Rendlesham,S Gregory Gt,Suffolk,22985,TM325528,52.12481,1.39547,1,c1700,,timber,,,5.A,~5.1,,0
5568,Renhold,All Saints,Bedfordshire,12373,TL088528,52.16314,-0.40972,1,1979,,cast iron,John Taylor & Co,,8.3.A.h,6.1,,0
5569,Repton,S Wystan,Derbyshire,15421,SK302271,52.84116,-1.55175,1,1898,,cast iron;oak,John Taylor & Co,,8.3.C.e,8.3,,0
5570,Rettendon,All Saints,Essex,10998,TQ770960,51.63496,0.55639,1,c1883,,oak,Henry Bowell,Y,6.A,6.4,,0
5571,Revelstoke,S Peter,Devon,13905,SX549477,50.31190,-4.03812,1,1882,,oak,John Warner & Sons,,6.A,8.3,,0
5573,Rewe,S Mary V,Devon,13175,SX945992,50.78293,-3.49712,2,1950,,cast iron,Gillett & Johnston,,8.3.A.m,,,0
5572,Rewe,S Mary V,Devon,13175,SX945992,50.78293,-3.49712,1,1887,,oak,Thomas II Hooper,,6.D,5.1,,0
5576,Reydon,S Margaret,Suffolk,13558,TM490781,52.34514,1.65549,9,1887,,oak,John Taylor & Co,,6.A,1,,0
5575,Reydon,S Margaret,Suffolk,13558,TM490781,52.34514,1.65549,2,1995,,steel,Whitechapel Bell Foundry,,~ 8.1.F.g,1,,0
5574,Reydon,S Margaret,Suffolk,13558,TM490781,52.34514,1.65549,1,1995,,cast iron,Whitechapel Bell Foundry,,8.3.A.h,5.12R,,0
5577,Rhuddlan,S Mary,"Denbighshire, Clwyd, Wales",11779,SJ021781,53.29082,-3.46973,1,1902,,cast iron;oak,Charles Carr,,7.B.b,6,,0
5578,Rhyl,S Thomas,"Denbighshire, Clwyd, Wales",13832,SJ010815,53.32141,-3.48748,1,,,timber,,,,8,,0
5579,Rhymney,S David,"Caerphilly, Gwent, Wales",13329,SO112080,51.76391,-3.28811,1,1875,,oak,John Warner & Sons,,,6.13,,0
5580,Ribbesford,S Leonard,Worcestershire,13439,SO786740,52.36378,-2.31530,1,1879,,oak,,,6.A,3.1,,0
5581,Ribchester,S Wilfred,Lancashire,15295,SD649350,53.81026,-2.53349,1,,,timber,,,,6.1,,0
5582,Riby,S Edmund,Lincolnshire,13312,TA184074,53.55065,-0.21336,1,1811,,oak,James III Harrison,,6.B,3.3,,0
